date,score
2017-01-28 05:23:59,"[2.1188, 1.9752, 1.135, -1.3563, -3.0923]"
2017-01-29 00:34:44,"[0.6131, 1.4219, 1.3652, -0.3874, -2.3467]"
2017-01-29 00:35:36,"[1.2883, 0.5279, -0.2866, -0.7225, -0.5646]"
2017-01-29 00:42:42,"[1.9347, 1.0072, 0.4643, -1.072, -1.7163]"
2017-01-29 20:53:51,"[0.6413, -0.1117, 0.2133, -0.0964, -0.3978]"
2017-01-29 21:34:53,"[-0.043, -0.2081, 0.0842, 0.1942, -0.1573]"
2017-01-29 23:11:02,"[-1.2295, -0.933, 0.1795, 0.8924, 0.8637]"
2017-01-30 05:18:59,"[-0.9495, -0.3181, 0.6124, 0.5372, 0.0746]"
2017-01-30 10:52:15,"[-0.7127, 0.3843, 1.0871, 0.5313, -1.035]"
2017-01-30 17:34:00,"[-0.0777, -0.4715, -0.285, 0.1662, 0.5402]"
2017-01-30 17:50:23,"[-2.2018, -2.1433, -0.6741, 1.4977, 2.7411]"
2017-01-30 19:26:50,"[-2.0584, -2.1404, -0.7732, 1.3977, 2.9309]"
2017-01-30 19:31:23,"[-1.1196, -0.9906, 0.0893, 0.8367, 0.8355]"
2017-01-31 02:53:39,"[3.0047, 1.6209, 0.5139, -1.5237, -2.6331]"
2017-02-02 19:24:41,"[-0.1616, -0.7926, -0.2661, 0.0516, 0.9031]"
2017-02-03 01:39:18,"[-0.1313, -0.3299, 0.2062, 0.2798, 0.0513]"
2017-02-04 00:52:40,"[-2.1502, -1.2307, 0.4454, 1.3381, 1.147]"
2017-02-04 01:38:54,"[-0.4906, 0.3491, 1.0371, 0.062, -0.9204]"
2017-02-04 03:29:24,"[-0.0824, -0.3417, 0.0919, 0.178, 0.1085]"
2017-02-04 11:57:38,"[0.8617, 0.6277, 0.1776, -0.3459, -1.133]"
2017-02-04 12:02:18,"[0.3436, 0.0947, 0.3854, -0.1966, -0.5629]"
2017-02-04 16:39:32,"[-0.7097, -0.6788, 0.0387, 0.5078, 0.5934]"
2017-02-04 16:57:59,"[-0.6999, -0.5916, -0.1546, 0.5085, 0.5546]"
2017-02-04 17:03:52,"[-1.6516, -0.7033, 0.7259, 1.1076, 0.2932]"
2017-02-04 17:07:16,"[-0.2676, -0.1635, 0.441, 0.1987, -0.1767]"
2017-02-04 17:14:39,"[1.6915, 1.5478, 0.2782, -1.4766, -1.6877]"
2017-02-04 19:00:25,"[0.0979, -0.1279, -0.1099, 0.0124, 0.0479]"
2017-02-04 21:56:09,"[-1.7291, -1.2242, 0.2199, 1.1578, 1.2188]"
2017-02-04 22:01:38,"[-2.0631, -2.2173, -1.0532, 1.0976, 3.2326]"
2017-02-04 22:02:17,"[-1.4919, -1.875, -0.3748, 0.934, 2.3199]"
2017-02-04 22:08:52,"[-0.432, -0.4037, 0.028, 0.2307, 0.2853]"
2017-02-04 22:16:06,"[-0.8496, -1.2285, -0.2345, 0.5939, 1.2853]"
2017-02-04 23:12:36,"[-0.1229, -0.6427, -0.3753, 0.1592, 0.6553]"
2017-02-05 16:35:21,"[-0.7605, 1.3073, 2.1597, 0.1601, -2.2654]"
2017-02-05 16:39:41,"[-0.655, -1.318, -0.2101, 0.4313, 1.4679]"
2017-02-05 16:42:26,"[-1.273, -0.4146, 0.6287, 0.6345, 0.3338]"
2017-02-05 16:42:55,"[-0.792, 0.1905, 1.393, 0.4346, -1.1385]"
2017-02-05 16:48:00,"[0.5751, 0.6203, 0.5347, -0.262, -1.225]"
2017-02-05 16:50:19,"[-0.3605, -0.1692, 0.4431, 0.3012, -0.2306]"
2017-02-05 16:51:00,"[-0.7101, -1.1634, -0.5602, 0.5073, 1.4535]"
2017-02-05 16:53:25,"[0.871, 0.7533, 0.4519, -0.4375, -1.2296]"
2017-02-05 16:55:20,"[-2.7805, -1.2646, 1.4127, 1.9154, 0.5212]"
2017-02-05 17:01:08,"[1.374, 0.412, -0.0901, -0.7471, -0.8082]"
2017-02-05 17:02:09,"[3.2611, 2.2583, 0.4602, -2.1237, -2.9998]"
2017-02-05 17:09:37,"[-0.2863, 0.7357, 0.9466, -0.0247, -1.1797]"
2017-02-05 17:11:27,"[0.2524, 0.2428, 0.5774, -0.0041, -0.8775]"
2017-02-05 17:12:32,"[-2.3006, -1.1363, 0.9316, 1.5689, 0.6225]"
2017-02-05 17:16:23,"[0.4772, 0.6461, 0.5871, -0.2343, -1.2135]"
2017-02-05 17:18:11,"[3.0151, 0.6057, -0.692, -1.5295, -0.9496]"
2017-02-05 17:19:08,"[-2.2647, -2.4379, -0.6032, 1.3649, 3.2317]"
2017-02-05 17:20:49,"[-0.506, -1.1112, -0.585, 0.3127, 1.444]"
2017-02-05 17:26:30,"[0.2561, 0.9087, 0.9468, -0.2142, -1.5935]"
2017-02-05 17:27:35,"[0.7641, 0.5107, 0.6712, -0.3436, -1.2645]"
2017-02-05 17:40:28,"[-0.6871, 1.1197, 1.932, 0.2956, -2.0904]"
2017-02-05 17:40:48,"[-1.0899, -1.5505, -0.6564, 0.7895, 2.066]"
2017-02-05 17:46:33,"[-2.4027, -2.2379, -0.5334, 1.5562, 2.8569]"
2017-02-05 17:47:42,"[-0.7227, -0.411, 0.1825, 0.3425, 0.3587]"
2017-02-05 17:52:22,"[-0.9654, -1.1451, -0.5619, 0.4687, 1.8551]"
2017-02-05 17:53:39,"[-1.5111, -1.2201, -0.2528, 1.094, 1.4431]"
2017-02-05 17:55:31,"[-0.4914, -0.7523, 0.0087, 0.4104, 0.7467]"
2017-02-05 17:58:04,"[-1.8277, -1.3959, 0.1642, 1.336, 1.218]"
2017-02-05 17:58:40,"[-0.1428, -0.533, -0.178, 0.207, 0.505]"
2017-02-05 18:00:30,"[0.9379, 1.5545, 1.1956, -0.8897, -2.3537]"
2017-02-05 18:03:49,"[-1.3033, -1.08, 0.1022, 0.9141, 1.0903]"
2017-02-05 18:05:16,"[-0.2498, -0.7344, -0.1494, 0.3401, 0.628]"
2017-02-05 18:07:59,"[1.334, 0.7951, 0.1503, -0.8161, -1.1949]"
2017-02-05 18:12:14,"[1.1122, 1.5658, 0.8956, -0.9567, -2.1347]"
2017-02-05 18:21:41,"[2.3164, 1.1543, -0.3728, -1.3481, -1.4375]"
2017-02-05 18:30:43,"[-1.3768, -0.4875, 0.6084, 0.8303, 0.1782]"
2017-02-05 18:41:06,"[-2.2883, -2.2888, -1.0629, 1.4442, 3.3614]"
2017-02-05 18:41:42,"[0.1696, 0.5858, 0.9413, -0.079, -1.3621]"
2017-02-05 18:48:18,"[0.6605, 0.9215, 0.6522, -0.398, -1.6023]"
2017-02-05 18:50:10,"[-1.449, -1.1652, -0.0968, 1.0316, 1.2615]"
2017-02-05 18:52:09,"[0.3129, -0.0553, -0.0241, -0.0622, -0.1035]"
2017-02-05 19:13:20,"[3.1855, 1.6326, 0.1283, -1.9508, -2.3586]"
2017-02-07 15:00:54,"[-0.772, -0.9358, -0.4129, 0.5598, 1.3346]"
2017-02-07 15:06:50,"[-0.3776, -0.6721, -0.0511, 0.269, 0.5928]"
2017-02-07 15:12:19,"[1.0851, 0.7114, 0.2715, -0.672, -1.2154]"
2017-02-07 16:08:19,"[0.9428, 0.6813, 0.2366, -0.6048, -1.0201]"
2017-02-07 16:11:34,"[-1.1273, -0.7855, 0.097, 0.7584, 0.6522]"
2017-02-07 16:23:27,"[1.8412, 1.6852, 0.9549, -1.2798, -2.4889]"
2017-02-07 17:13:33,"[-1.548, -0.8564, 0.2042, 0.838, 0.882]"
2017-02-07 18:03:36,"[-1.2451, -0.8213, 0.2596, 0.8505, 0.7128]"
2017-02-07 19:18:23,"[0.1461, -0.3496, -0.0724, -0.0267, 0.2843]"
2017-02-08 18:27:31,"[0.1384, -0.1998, 0.0654, 0.2204, -0.1196]"
2017-02-08 21:29:14,"[2.169, 1.6684, 0.6443, -1.4722, -2.3821]"
2017-02-08 21:31:39,"[0.0672, 0.2304, 0.2354, 0.0082, -0.5178]"
2017-02-08 21:49:54,"[0.8449, 0.3401, 0.1936, -0.409, -0.7771]"
2017-02-09 01:58:37,"[-0.6982, -0.2812, 0.5013, 0.366, 0.018]"
2017-02-10 01:17:19,"[0.3707, -0.3075, -0.1645, -0.0859, 0.0781]"
2017-02-10 02:51:02,"[2.5828, 0.9751, -0.1295, -1.4322, -1.5361]"
2017-02-10 20:17:43,"[0.4273, -0.378, -0.2138, -0.0963, 0.2529]"
2017-02-11 02:18:03,"[-0.7032, -0.3814, 0.4694, 0.5816, -0.0066]"
2017-02-15 02:33:11,"[-1.2346, -1.3356, -0.2729, 0.8364, 1.5957]"
2017-02-15 20:52:49,"[0.2226, -0.5815, -0.6418, 0.1611, 0.5463]"
2017-02-15 21:05:03,"[-0.6048, -0.7246, -0.2264, 0.4992, 0.8838]"
2017-02-15 21:06:09,"[0.9097, 0.1997, -0.2107, -0.5044, -0.3724]"
2017-02-16 04:21:12,"[1.4764, 0.176, -0.5943, -0.9968, 0.008]"
2017-02-16 04:29:15,"[0.9506, 0.5404, 0.1696, -0.479, -1.0343]"
2017-02-16 04:31:18,"[-2.1459, -2.6636, -1.3613, 1.2059, 4.0256]"
2017-02-16 04:33:50,"[-1.4546, -1.1159, -0.00024734, 0.91203, 1.1978]"
2017-02-16 04:35:10,"[0.00042157, -0.63511, -0.28141, 0.24267, 0.65025]"
2017-02-16 04:36:32,"[-1.1816, -1.4112, -0.2453, 0.8082, 1.5806]"
2017-02-16 04:39:11,"[-1.7018, 0.3102, 2.0584, 0.6436, -1.3432]"
2017-02-16 04:47:56,"[-0.7746, -1.0421, -0.3438, 0.5727, 1.2155]"
2017-02-16 23:46:04,"[-1.1212, -1.1974, -0.2406, 0.9436, 1.3171]"
2017-02-17 06:42:32,"[-0.6692, 0.2703, 0.6789, 0.0656, -0.3474]"
2017-02-17 15:55:44,"[-0.5833, 1.0899, 1.5935, 0.3566, -1.9998]"
2017-02-17 17:45:17,"[0.1395, 0.299, 0.7084, 0.1336, -1.063]"
2017-02-18 03:07:51,"[-1.2389, -0.8671, -0.2313, 0.9839, 0.8937]"
2017-02-18 08:07:03,"[-1.8205, -1.4895, 0.0009988, 1.4427, 1.4422]"
2017-02-18 08:26:19,"[-0.317, -0.527, 0.047, 0.4706, 0.324]"
2017-02-18 08:35:11,"[0.4949, -0.0463, -0.1213, -0.0655, -0.2411]"
2017-02-18 15:11:41,"[-0.3035, 0.4454, 1.0631, 0.5407, -1.5579]"
2017-02-18 15:21:05,"[-0.8241, 0.8266, 1.7887, 0.5473, -1.9467]"
2017-02-18 15:47:51,"[0.4912, 0.6277, 0.7335, 0.0028, -1.4103]"
2017-02-18 16:05:22,"[0.904, 1.3523, 0.9773, -0.6351, -2.0756]"
2017-02-18 16:14:15,"[0.5828, 0.6372, 0.2286, -0.3292, -0.9593]"
2017-02-18 16:37:50,"[-1.0209, -0.2669, 0.2639, 0.5764, 0.2793]"
2017-02-18 16:47:58,"[1.8324, 1.0336, 0.2358, -1.0825, -1.614]"
2017-02-19 14:58:24,"[1.3108, 0.5439, 0.2317, -0.8021, -0.9755]"
2017-02-19 15:06:59,"[0.3518, -0.2776, -0.162, -0.135, 0.2239]"
2017-02-19 15:08:17,"[-0.0029, -0.4022, 0.1335, 0.1785, 0.2333]"
2017-02-19 20:20:45,"[0.747, -0.0409, -0.0768, -0.2939, -0.2783]"
2017-02-23 12:22:31,"[-1.8193, -2.2059, -0.8665, 1.2795, 3.0232]"
2017-02-24 17:22:11,"[-1.0964, -0.6982, -0.2303, 0.7233, 0.9215]"
2017-02-24 17:51:49,"[2.0232, 1.9277, 0.845, -1.4302, -2.7147]"
2017-02-24 18:00:36,"[-0.4257, -0.9136, -0.3443, 0.4538, 1.0116]"
2017-02-24 18:01:17,"[-1.0418, -1.0478, 0.0053, 0.8122, 0.939]"
2017-02-24 18:59:50,"[0.1999, 1.1256, 1.2004, -0.1654, -1.988]"
2017-02-25 04:46:30,"[-2.2751, -2.3798, -0.6158, 1.4047, 3.1178]"
2017-02-25 04:49:52,"[0.2098, 0.1658, 0.3737, -0.1786, -0.4845]"
2017-02-25 05:32:56,"[-0.9463, -0.8513, 0.127, 0.7048, 0.66]"
2017-02-27 01:10:11,"[0.2464, -0.5605, -0.3168, 0.0408, 0.3533]"
2017-02-27 21:34:39,"[-0.5628, -0.5181, 0.3219, 0.3014, 0.1921]"
2017-02-28 05:08:14,"[0.4686, 0.983, 1.154, -0.2721, -1.837]"
2017-02-28 05:10:55,"[1.7007, 1.3629, 0.5689, -1.0267, -2.0409]"
2017-03-02 01:31:54,"[-2.3933, -2.4402, -0.5227, 1.7266, 2.8373]"
2017-03-06 01:14:54,"[-0.0029, -0.4022, 0.1335, 0.1785, 0.2333]"
2017-03-06 01:34:53,"[-1.4009, -1.6593, -0.2965, 1.0261, 1.8496]"
2017-03-06 01:41:09,"[1.7409, 0.3141, -0.5074, -0.9737, -0.4039]"
2017-03-06 01:57:43,"[1.258, -0.2401, -0.3984, -0.5789, 0.0512]"
2017-03-10 02:50:57,"[0.9866, 0.4248, 0.107, -0.563, -0.8129]"
2017-03-10 07:05:11,"[-0.4194, -0.8386, -0.7094, 0.3416, 1.2861]"
2017-03-10 07:27:06,"[-0.3976, 0.4772, 0.9292, 0.2249, -0.953]"
2017-03-11 03:53:37,"[-1.8612, -1.9271, -0.8746, 1.2909, 2.6025]"
2017-03-12 03:43:47,"[-1.185, -1.146, -0.7336, 0.799, 1.7734]"
2017-03-12 03:51:56,"[-1.4415, -0.2425, 0.7719, 0.9747, -0.0921]"
2017-03-12 03:59:22,"[-1.8827, -1.4717, -0.1096, 1.3753, 1.6193]"
2017-03-12 04:25:25,"[-1.0714, -0.1816, 0.6268, 0.615, -0.146]"
2017-03-12 19:40:37,"[-1.6069, -1.1145, -0.2608, 0.6043, 1.8646]"
2017-03-12 21:32:33,"[-0.0589, 0.3616, 0.4039, -0.0466, -0.6746]"
2017-03-12 21:37:51,"[-1.394, -1.1821, -0.0063, 0.969, 1.1806]"
2017-03-12 21:39:51,"[-1.0441, -0.6244, 0.1277, 0.7, 0.566]"
2017-03-12 21:41:41,"[-1.717, -1.2993, -0.0272, 1.1888, 1.6069]"
2017-03-12 21:43:07,"[-0.7985, -0.2052, 0.5475, 0.5781, -0.1487]"
2017-03-13 01:26:47,"[-1.711, -1.0793, 0.9455, 0.97, 0.5853]"
2017-03-14 08:17:30,"[-1.4757, -1.3358, -0.0916, 1.2284, 1.2819]"
2017-03-14 08:19:30,"[1.866, 1.9413, 1.023, -1.4732, -2.6843]"
2017-03-14 08:21:59,"[-1.6527, -1.3194, 0.3764, 1.2783, 0.9589]"
2017-03-16 04:39:03,"[-1.3427, -0.5869, 0.7565, 1.0127, 0.1232]"
2017-03-22 01:30:44,"[2.4108, 1.6547, 0.4987, -1.482, -2.4369]"
2017-03-22 01:31:40,"[1.2028, 1.2104, 0.9537, -0.6328, -2.1496]"
2017-03-22 21:54:14,"[-0.4035, 0.0412, 0.8932, 0.3629, -0.7358]"
2017-03-23 17:52:21,"[1.5291, 0.4762, -0.1331, -0.7049, -1.02]"
2017-03-24 07:18:23,"[1.0415, 0.4929, 0.1867, -0.5206, -0.9147]"
2017-03-24 07:29:31,"[-0.3755, -0.417, 0.0638, 0.292, 0.2111]"
2017-03-24 07:30:16,"[1.928, 1.644, 0.8042, -1.2512, -2.4646]"
2017-03-24 07:36:32,"[-1.1647, -0.2283, 0.5108, 0.6567, 0.0314]"
2017-03-24 07:44:56,"[-0.3174, 0.1869, 0.4105, 0.1937, -0.4962]"
2017-03-24 07:50:21,"[0.1937, 0.1026, 0.0572, -0.0152, -0.412]"
2017-03-24 10:07:34,"[-2.2366, -0.9829, 0.9999, 1.5286, 0.4866]"
2017-03-24 14:15:11,"[-1.8362, -1.6899, -0.0943, 1.3583, 1.5952]"
2017-03-24 14:17:41,"[1.2482, 1.2491, 0.9106, -0.7785, -2.0588]"
2017-03-24 14:21:33,"[-1.0458, 0.9662, 1.5626, 0.0895, -1.4596]"
2017-03-24 14:23:26,"[0.475, -0.1227, 0.0576, -0.3363, -0.0502]"
2017-03-24 14:26:51,"[0.0327, -0.0709, 0.1145, 0.0464, -0.218]"
2017-03-24 14:27:13,"[-0.5283, -0.8121, -0.2604, 0.3395, 0.9619]"
2017-03-24 14:28:40,"[-1.4963, -1.3902, -0.4716, 1.004, 1.8417]"
2017-03-24 14:30:00,"[-0.7924, 0.485, 1.1317, 0.1141, -0.8739]"
2017-03-24 14:30:22,"[0.3678, -0.0247, -0.0094, -0.3059, -0.1196]"
2017-03-24 14:32:59,"[-0.8634, -0.2713, 0.3987, 0.4229, 0.0352]"
2017-03-24 14:34:08,"[-0.2671, -0.5858, -0.2648, 0.1512, 0.7392]"
2017-03-24 14:34:42,"[0.0155, 0.5982, 1.0877, 0.1107, -1.3595]"
2017-03-24 14:35:30,"[-0.9029, -0.7619, -0.2775, 0.5464, 0.991]"
2017-03-24 14:36:46,"[2.2464, 0.4625, -0.2279, -1.1735, -0.9071]"
2017-03-24 14:37:53,"[1.312, 0.6725, -0.009, -0.6676, -0.9939]"
2017-03-24 14:39:16,"[1.9252, 0.2708, -0.2933, -0.9047, -0.7267]"
2017-03-24 14:41:17,"[0.0901, 0.8737, 0.9541, -0.168, -1.5251]"
2017-03-24 14:41:56,"[-0.6575, -0.2554, 0.5414, 0.3352, -0.1189]"
2017-03-24 14:43:45,"[-0.5881, -0.8887, -0.5096, 0.446, 1.2282]"
2017-03-24 14:45:18,"[0.4212, 0.0161, 0.0792, -0.2484, -0.3709]"
2017-03-24 14:47:05,"[-1.049, -0.0347, 0.7602, 0.5106, -0.2739]"
2017-03-24 14:48:30,"[-0.3779, 1.0352, 1.5073, 0.2015, -1.8696]"
2017-03-24 14:50:35,"[0.3966, -0.1951, 0.0393, -0.0264, -0.1853]"
2017-03-24 14:52:30,"[-0.1537, -0.4897, -0.2959, 0.392, 0.4275]"
2017-03-24 14:54:24,"[0.2178, -0.3348, -0.354, -0.1221, 0.4385]"
2017-03-24 14:55:34,"[-0.7366, -0.1636, 0.2477, 0.4613, 0.0387]"
2017-03-24 15:03:29,"[1.3275, 0.4807, -0.0476, -0.8147, -0.7927]"
2017-03-24 15:05:14,"[-0.5829, 0.1439, 0.4219, 0.1268, -0.1424]"
2017-03-24 15:05:32,"[-0.8947, -1.0008, -0.2014, 0.6929, 1.108]"
2017-03-24 15:06:25,"[-1.718, -1.2732, -0.0102, 1.1421, 1.3179]"
2017-03-24 15:09:41,"[-1.0979, -0.9503, -0.048, 0.7508, 0.9249]"
2017-03-24 15:12:36,"[-0.4644, -0.3944, -0.1025, 0.4038, 0.3822]"
2017-03-24 15:16:08,"[-1.7476, -0.274, 1.0762, 1.2571, -0.3691]"
2017-03-24 15:18:47,"[0.321, -0.4734, -0.2547, 0.0564, 0.3105]"
2017-03-24 15:20:07,"[0.0952, -0.4354, -0.1538, -0.0603, 0.4105]"
2017-03-24 17:25:32,"[-0.7698, -0.0898, 0.5539, 0.5797, -0.2754]"
2017-03-24 17:50:03,"[0.3342, -0.3528, -0.2794, -0.3116, 0.3369]"
2017-03-24 18:13:34,"[0.0091, -0.3606, -0.031, -0.0048, 0.2911]"
2017-03-24 19:24:55,"[0.0051, -0.2343, 0.1845, -0.0198, -0.0455]"
2017-03-24 20:24:34,"[0.9036, 0.112, 0.1523, -0.5127, -0.4868]"
2017-03-24 22:28:54,"[-0.1803, -0.6079, 0.0415, 0.1514, 0.4874]"
2017-03-24 22:34:44,"[1.6253, 1.1213, 0.3955, -1.0403, -1.7021]"
2017-03-28 04:31:21,"[0.004, 1.2212, 1.1854, -0.1636, -1.9763]"
2017-03-28 10:18:37,"[-1.4703, -0.7868, 0.6176, 1.2522, 0.2797]"
2017-03-28 10:20:38,"[1.3237, 0.6532, 0.3674, -0.8173, -1.1112]"
2017-03-28 10:21:31,"[1.3055, 0.3368, -0.3067, -0.9182, -0.4853]"
2017-03-28 16:57:18,"[0.7963, 0.1537, -0.0008, -0.526, -0.3786]"
2017-03-28 16:58:36,"[0.9695, 0.3446, 0.2305, -0.5623, -0.7429]"
2017-03-28 17:04:59,"[-1.1429, -1.2647, -0.4685, 0.8321, 1.52]"
2017-03-28 17:14:01,"[1.3302, 1.1569, 0.6147, -0.8784, -1.7424]"
2017-03-29 20:07:43,"[-1.5646, -1.0448, -0.0406, 1.164, 1.0226]"
2017-03-29 23:51:19,"[1.0475, 0.5582, 0.3653, -0.7156, -1.1808]"
2017-03-30 23:39:41,"[-2.647, -2.8577, -1.3232, 1.882, 3.8984]"
2017-03-31 00:36:12,"[-0.634, -1.1272, -0.2685, 0.5408, 1.1708]"
2017-03-31 18:41:25,"[-2.1273, 0.0825, 1.6658, 1.2158, -0.8725]"
2017-03-31 18:44:25,"[-1.0705, 0.36, 1.2022, 0.7689, -1.2275]"
2017-03-31 18:46:53,"[-1.2875, -0.8076, 0.2867, 0.9585, 0.6739]"
2017-03-31 18:48:58,"[-0.9169, -0.9775, 0.137, 0.9108, 0.6513]"
2017-03-31 18:52:36,"[-1.4245, -1.9122, -1.2097, 0.5158, 3.336]"
2017-03-31 18:52:51,"[-0.8165, -0.4025, 0.4607, 0.5008, 0.3923]"
2017-03-31 18:54:18,"[-1.2169, -0.0207, 0.9166, 0.7735, -0.5804]"
2017-03-31 19:18:42,"[-1.9121, -1.8212, -0.1241, 1.3955, 1.8638]"
2017-03-31 23:47:32,"[0.3893, 0.4487, 0.3316, -0.2281, -0.9226]"
2017-04-01 04:55:23,"[-0.8916, 0.0037, 0.8024, 0.6967, -0.6104]"
2017-04-01 18:39:09,"[-0.6764, -0.5369, -0.0642, 0.6553, 0.5569]"
2017-04-01 18:44:01,"[3.3621, 1.5267, -0.749, -2.0971, -1.6333]"
2017-04-02 04:57:31,"[-2.3663, -1.5034, 0.8542, 1.8595, 0.785]"
2017-04-02 06:02:38,"[2.2028, 1.1296, 0.0943, -1.3183, -1.658]"
2017-04-02 06:04:07,"[0.3447, -0.1417, -0.0415, -0.187, -0.0602]"
2017-04-02 06:05:23,"[2.5171, 1.9811, 0.7437, -1.5972, -2.8576]"
2017-04-03 16:30:19,"[0.1637, 0.4077, 0.309, -0.2539, -0.6551]"
2017-04-03 16:59:35,"[0.759, 0.0108, 0.0785, -0.4686, -0.2642]"
2017-04-03 20:01:01,"[0.1058, -0.1172, -0.0541, 0.1139, -0.1075]"
2017-04-05 14:56:29,"[0.9788, 0.0264, -0.443, -0.4543, -0.1684]"
2017-04-07 16:36:32,"[-0.7322, -1.0165, -0.1301, 0.762, 0.9261]"
2017-04-07 20:55:48,"[0.5023, 0.6312, 0.6306, -0.3533, -1.1799]"
2017-04-07 20:59:37,"[-1.7428, -0.2458, 1.032, 1.191, -0.2062]"
2017-04-12 19:20:21,"[-0.0368, -0.6736, -0.5774, -0.0711, 1.3789]"
2017-04-12 19:28:07,"[-1.3818, -1.7403, -0.6167, 0.9212, 2.2335]"
2017-04-12 19:35:10,"[1.2541, 1.0785, 0.7005, -0.8067, -1.7844]"
2017-04-12 19:54:38,"[0.5222, -0.34, -0.0884, -0.2429, 0.1467]"
2017-04-13 17:51:33,"[-2.2113, -2.0351, -0.5191, 1.5592, 2.5321]"
2017-04-13 17:55:36,"[-0.9234, -1.0139, -0.1867, 0.6723, 1.1128]"
2017-04-13 17:56:42,"[-1.0022, -1.4321, -0.421, 0.8078, 1.6393]"
2017-04-13 18:00:07,"[0.1849, -0.3432, -0.0936, -0.0983, 0.3126]"
2017-04-17 18:26:01,"[-1.4864, -1.1746, -0.0588, 1.034, 1.2751]"
2017-04-17 21:31:03,"[0.2608, -0.2544, 0.1049, -0.1468, -0.0579]"
2017-04-18 01:48:13,"[1.6243, 1.3942, 0.7059, -0.9914, -2.1733]"
2017-04-23 17:23:00,"[0.2506, -0.141, -0.0125, -0.0461, -0.1159]"
2017-04-23 23:42:53,"[-0.328, -0.4948, -0.0758, 0.3109, 0.3893]"
2017-04-24 03:48:58,"[-0.8171, -1.0607, -0.219, 0.7038, 0.9966]"
2017-04-24 16:51:13,"[-2.6504, -2.725, -0.759, 1.9456, 3.2457]"
2017-04-24 16:55:00,"[-0.4964, -0.777, -0.2628, 0.369, 0.91]"
2017-04-27 01:52:11,"[1.3443, 1.2573, 0.6411, -0.8749, -1.9764]"
2017-04-28 20:18:25,"[2.4525, 2.4007, 1.0842, -1.8197, -3.2949]"
2017-04-28 20:57:57,"[2.7873, 2.3346, 0.8083, -2.0479, -3.1319]"
2017-04-28 20:59:18,"[-0.6083, -0.489, -0.3411, 0.2763, 0.897]"
2017-04-28 21:00:05,"[0.965, 0.8431, 0.4437, -0.6968, -1.245]"
2017-05-01 04:46:57,"[2.0135, 1.6489, 0.4924, -1.5092, -2.0921]"
2017-05-01 04:58:35,"[0.809, 0.3912, 0.3242, -0.3354, -1.0377]"
2017-05-01 11:12:07,"[-0.1328, 0.9482, 1.2772, 0.1382, -1.8023]"
2017-05-01 11:36:15,"[-1.4644, -0.437, 0.7414, 1.1456, -0.0291]"
2017-05-01 13:44:47,"[-0.2238, -0.3245, 0.1788, 0.2849, 0.1614]"
2017-05-01 13:53:41,"[0.5799, 0.2603, -0.0511, -0.2067, -0.6196]"
2017-05-04 08:34:45,"[-1.4272, -1.6505, -0.6846, 0.7335, 2.5566]"
2017-05-05 06:00:30,"[-0.9186, -0.8479, -0.2643, 0.6618, 0.9294]"
2017-05-05 06:02:00,"[-0.3306, -0.6283, -0.0771, 0.3871, 0.5068]"
2017-05-05 06:03:21,"[-1.6967, -1.7097, 0.1644, 1.373, 1.5017]"
2017-05-05 06:04:59,"[1.2754, 0.8991, 0.5399, -0.8694, -1.4362]"
2017-05-05 06:07:06,"[2.7028, 2.3368, 0.8542, -1.9127, -3.1613]"
2017-05-05 06:15:24,"[-0.418, 0.1318, 0.3971, 0.0079, -0.2187]"
2017-05-05 06:18:01,"[-0.3502, 0.3419, 0.895, -0.0946, -0.8794]"
2017-05-05 06:22:10,"[0.6747, 0.1615, 0.1094, -0.4147, -0.4066]"
2017-05-05 07:31:57,"[-0.9101, 0.4486, 1.5252, 0.2855, -1.3902]"
2017-05-05 07:35:26,"[-2.9329, -2.2006, 0.4292, 2.1763, 1.969]"
2017-05-05 07:47:40,"[-0.7049, 0.068, 0.8567, 0.4746, -0.6196]"
2017-05-07 17:30:19,"[-1.5732, -1.4788, -0.5986, 0.8998, 1.9951]"
2017-05-07 22:22:03,"[-2.0448, -2.2044, -0.3397, 1.5108, 2.4176]"
2017-05-09 22:35:07,"[-2.1755, -1.5561, 0.7395, 1.6165, 1.065]"
2017-05-09 22:38:52,"[-0.6599, -0.5384, 0.0823, 0.4998, 0.3526]"
2017-05-10 07:56:12,"[-1.723, -1.5068, -0.4477, 1.205, 1.8966]"
2017-05-10 07:57:35,"[0.0372, -0.4879, -0.1031, 0.0313, 0.4062]"
2017-05-10 07:59:44,"[-0.8327, -0.9866, -0.2902, 0.7072, 1.1876]"
2017-05-10 08:00:58,"[-1.8122, -1.2304, -0.3182, 1.2072, 1.6173]"
2017-05-10 08:02:53,"[-1.3642, -1.2766, -0.3836, 0.9795, 1.6785]"
2017-05-10 08:21:29,"[0.2062, -0.3631, -0.0797, -0.1626, 0.3038]"
2017-05-10 18:58:42,"[-1.55, -1.1361, 0.3116, 1.0454, 1.0471]"
2017-05-10 19:44:09,"[1.3415, 0.5214, -0.1292, -0.6772, -0.8559]"
2017-05-10 20:20:24,"[0.0194, 0.5048, 0.8992, -0.0314, -1.0991]"
2017-05-10 21:40:00,"[-0.2009, 0.3069, 0.6523, 0.1342, -0.7826]"
2017-05-11 07:35:48,"[2.3444, 2.2476, 0.9281, -1.6193, -3.1211]"
2017-05-11 07:38:45,"[0.2341, 0.487, 0.5748, -0.1344, -0.9684]"
